title,Score,Genre,Date,duree,Descriptions,Acteurs,Public
Curb Your Enthusiasm,8.8,Comedy,2000– ,28,The life and times of Larry David and the predicaments he gets himself into with his friends and complete strangers.,"Larry David,Larry David,Cheryl Hines,Jeff Garlin",TV-MA
Das Boot,8.9,"Drama,War",1985,293,,"Jürgen Prochnow,Herbert Grönemeyer,Klaus Wennemann",TV-MA
Taskmaster,9.0,"Comedy,Game-Show",2015– ,47,"Five comedians are set tasks challenging their creativity and wit. The tasks are supervised by Alex Horne but the Taskmaster, Greg Davies, always has the final word.","Greg Davies,Alex Horne,Kerry Godliman",TV-14
It's Always Sunny in Philadelphia,8.8,Comedy,2005– ,22,Five friends with big egos and small brains are the proprietors of an Irish pub in Philadelphia.,"Rob McElhenney,Glenn Howerton,Charlie Day,Rob McElhenney,Kaitlin Olson",TV-MA
Monty Python's Flying Circus,8.8,Comedy,1969–1974,30,The original surreal sketch comedy showcase for the Monty Python troupe.,"Graham Chapman,Eric Idle,Terry Jones,Graham Chapman,John Cleese,Terry Gilliam",TV-14
Apocalypse: The Second World War,9.0,"Documentary,History,War",2009,312,"This six-part series traces the Second World War, from the rise of the Nazis to the surrender of the Japanese, with detailed portraits of key figures.","Mathieu Kassovitz,Martin Sheen,Rudolf Hess",TV-MA
Africa,9.0,Documentary,2013,6,,"David Attenborough,Simon Blakeney,Bill Rudolph",TV-PG
TVF Pitchers,9.1,"Comedy,Drama",2015–2022,40,A story of trials and tribulations of four young entrepreneurs who quit their day jobs in order to pursue their start up venture.,"Arunabh Kumar,Naveen Kasturia,Arunabh Kumar,Jitendra Kumar",TV-MA
Friends,8.9,"Comedy,Romance",1994–2004,22,Follows the personal and professional lives of six twenty to thirty year-old friends living in the Manhattan borough of New York City.,"David Crane,Marta Kauffman,Jennifer Aniston,Courteney Cox,Lisa Kudrow",TV-14
Last Week Tonight with John Oliver,8.9,"Comedy,History,News",2014– ,30,Former Daily Show host and correspondent John Oliver brings his persona to this weekly news satire program.,"John Oliver,David Kaye,Ryan Barger",TV-MA
When They See Us,8.9,"Biography,Crime,Drama",2019,296,Five teens from Harlem become trapped in a nightmare when they're falsely accused of a brutal attack in Central Park. Based on the true story.,"Ava DuVernay,Asante Blackk,Caleel Harris,Ethan Herisse",TV-MA
Gravity Falls,8.9,"Animation,Action,Adventure",2012–2016,23,"Twin siblings Dipper and Mabel Pines spend the summer at their great-uncle's tourist trap in the enigmatic Gravity Falls, Oregon.","Alex Hirsch,Jason Ritter,Alex Hirsch,Kristen Schaal",TV-Y7
Nathan for You,8.9,"Documentary,Comedy",2013–2017,30,"Nathan Fielder uses his business degree and life experiences to help real small businesses turn a profit. But because of his unorthodox approach, Nathan's genuine efforts to do good often draw real people into an experience far beyond what they signed up for.","Nathan Fielder,Michael Koman,Nathan Fielder,Anthony Filosa,Salomon Flores",TV-14
Clarkson's Farm,9.0,"Documentary,Comedy,Reality-TV",2021– ,45,Follow Jeremy Clarkson as he attempts to run a farm in the countryside.,"Jeremy Clarkson,Kaleb Cooper,Charlie Ireland",TV-PG
Cowboy Bebop,8.9,"Animation,Action,Adventure",1998–1999,24,The futuristic misadventures and tragedies of an easygoing bounty hunter and his partners.,"Hajime Yatate,Kôichi Yamadera,Unshô Ishizuka,Megumi Hayashibara",TV-14
Fargo,8.9,"Crime,Drama,Thriller",2014– ,53,"Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota.","Noah Hawley,Billy Bob Thornton,Martin Freeman,Allison Tolman",TV-MA
Persona,9.0,"Crime,Drama,Mystery",2018,65,A man diagnosed with Alzheimer's decides to punish criminals.,"Haluk Bilginer,Cansu Dere,Metin Akdülger",TV-MA
Dekalog,9.0,Drama,1989–1990,572,"Ten television drama films, each one based on one of the Ten Commandments.","Artur Barcis,Olgierd Lukaszewicz,Olaf Lubaszenko",TV-MA
The Beatles: Get Back,9.0,"Documentary,Biography,Music",2021,468,Documentary about the music group The Beatles featuring in-studio footage that was shot in early 1969 for the 1970 feature film 'Let It Be.',"The Beatles,John Lennon,Paul McCartney",PG-13
Seinfeld,8.9,Comedy,1989–1998,22,The continuing misadventures of neurotic New York City stand-up comedian Jerry Seinfeld and his equally neurotic New York City friends.,"Larry David,Jerry Seinfeld,Jerry Seinfeld,Julia Louis-Dreyfus,Michael Richards",TV-PG
Better Call Saul,8.9,"Crime,Drama",2015–2022,46,The trials and tribulations of criminal lawyer Jimmy McGill in the years leading up to his fateful run-in with Walter White and Jesse Pinkman.,"Vince Gilligan,Peter Gould,Bob Odenkirk,Rhea Seehorn,Jonathan Banks",TV-MA
True Detective,8.9,"Crime,Drama,Mystery",2014–2019,55,"Seasonal anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law.","Nic Pizzolatto,Vince Vaughn,Colin Farrell,Rachel McAdams",TV-MA
The Civil War,9.1,"Documentary,History,War",1990,680,A comprehensive survey of the American Civil War.,"David McCullough,Sam Waterston,Julie Harris",TV-14
